,rev_id,score
590,700027061,Stub
591,700061282,Stub
592,700172278,C
593,700180948,Stub
594,700307974,Stub
595,700312550,Stub
596,700355020,Stub
597,700355034,Stub
598,700355073,Stub
599,700400143,Stub
600,700445444,Start
601,700458967,Start
602,700474660,Stub
603,700475564,Stub
604,700476319,Stub
605,700476353,Stub
606,700669417,Stub
607,700670718,C
608,700719585,Stub
609,700864508,Stub
610,700932354,Start
611,701014752,Start
612,701047665,C
613,701048027,Stub
614,701106976,Start
615,701219833,Start
616,701394744,Stub
617,701395219,Stub
618,701431224,Stub
619,701437626,Stub
620,701452937,Start
621,701588716,Stub
622,701742218,Stub
623,701745522,Stub
624,701771698,Start
625,701832149,Stub
626,701871912,Stub
627,701896358,Start
628,701904302,Stub
629,701961167,Stub
630,701998658,Stub
631,702098995,Stub
632,702258783,Stub
633,702355716,Stub
634,702357552,Stub
635,702484294,Stub
636,702509338,Stub
637,702687818,Stub
638,702707688,Start
639,702712670,Start
640,702727008,Start
641,702729826,Stub
642,702740797,Start
643,702832114,Stub
644,702875035,Stub
645,702893111,Stub
646,702930848,Stub
647,702949370,Start
648,702964122,Start
649,702969677,Stub
650,702972334,Stub
651,702973103,Stub
652,702974211,Start
653,702974510,Stub
654,703029024,Stub
655,703037968,Start
656,703053769,Stub
657,703053876,Stub
658,703053905,Stub
659,703054379,Stub
660,703054420,Stub
661,703054447,Stub
662,703054465,Stub
663,703054481,Stub
664,703054542,Start
665,703054561,Stub
666,703054581,Stub
667,703054633,Stub
668,703054668,Stub
669,703055426,Stub
670,703055552,Stub
671,703060685,Stub
672,703098503,Stub
673,703105765,C
674,703133769,Stub
675,703183568,Start
676,703187650,C
677,703207074,Stub
678,703216645,Stub
679,703222512,Stub
680,703224305,Stub
681,703226576,Stub
682,703296748,Stub
683,703296780,Stub
684,703296853,Stub
685,703325745,Stub
686,703331074,C
687,703366953,Stub
688,703366980,Stub
689,703380433,Stub
690,703384635,Stub
691,703384656,Stub
692,703385617,Stub
693,703386200,Start
694,703392035,Stub
695,703392121,Stub
696,703401191,Stub
697,703401364,Stub
698,703403120,Stub
699,703405191,Start
700,703406889,Stub
701,703412803,Stub
702,703416870,Stub
703,703422434,Stub
704,703423083,Start
705,703436823,Start
706,703442039,Start
707,703463813,Start
708,703478926,Stub
709,703494680,Start
710,703495399,Stub
711,703507854,Stub
712,703532164,Stub
713,703540064,Start
714,703546632,Start
715,703547153,Stub
716,703550487,Stub
717,703551448,Stub
718,703555897,Stub
719,703558722,Stub
720,703558902,Stub
721,703559376,Stub
722,703559571,Stub
723,703560413,Stub
724,703569338,Stub
725,703580130,Stub
726,703652809,Start
727,703666654,Start
728,703693244,Stub
729,703707383,Stub
730,703719281,Start
731,703721936,Stub
732,703726449,Stub
733,703726461,Stub
734,703759447,C
735,703773782,
736,703819839,Stub
737,703821686,Stub
738,703857757,Stub
739,703874973,Stub
740,703875077,Stub
741,703915721,B
742,703922417,Stub
743,703925527,Stub
744,703937309,Stub
745,703937386,Stub
746,704000120,Stub
747,704001951,Stub
748,704004670,Stub
749,704010140,Start
750,704039294,Stub
751,704047959,Stub
752,704094181,Stub
753,704136762,Stub
754,704235837,Start
755,704358444,C
756,704369545,Stub
757,704424304,Stub
758,704428239,Stub
759,704438564,Stub
760,704438953,Stub
761,704451065,Start
762,704452023,Start
763,704455431,Start
764,704460602,Start
765,704467987,Stub
766,704476712,Stub
767,704491213,Stub
768,704516768,Start
769,704529226,Stub
770,704529261,Start
771,704529371,Stub
772,704529469,Stub
773,704529565,Stub
774,704529649,Stub
775,704529680,Stub
776,704529707,Stub
777,704529774,Stub
778,704529947,Stub
779,704529983,Stub
780,704530012,Stub
781,704530050,Stub
782,704530111,Stub
783,704530148,Stub
784,704530193,Stub
785,704530253,Stub
786,704569851,Start
787,704575541,Stub
788,704596904,Stub
789,704597450,Start
790,704600764,Stub
791,704611447,Stub
792,704636414,Stub
793,704636517,C
794,704651379,Start
795,704668476,Stub
796,704676106,Stub
797,704689916,Stub
798,704719275,Stub
799,704744768,Stub
800,704745155,Start
801,704772645,Stub
802,704779585,Stub
803,704789339,Stub
804,704816808,Start
805,704830391,Stub
806,704833506,Stub
807,704859854,Start
808,704860350,Stub
809,704866062,Stub
810,704875463,Start
811,704888246,Stub
812,704893591,Stub
813,704897187,Stub
814,704906631,Stub
815,704909164,Stub
816,704909244,Stub
817,704909670,Stub
818,704914179,Start
819,704916318,Stub
820,704916375,Stub
821,704917703,Stub
822,704919844,B
823,704929287,Stub
824,704933176,Stub
825,704936337,Stub
826,704938340,Start
827,704954450,Stub
828,704966834,C
829,704971958,Stub
830,704981447,Stub
831,704981869,Stub
832,704987150,Stub
833,705001594,Stub
834,705015595,Start
835,705017090,Start
836,705038435,Stub
837,705046546,Start
838,705071250,Stub
839,705080136,Start
840,705088060,Stub
841,705106158,Stub
842,705111781,Stub
843,705119502,Stub
844,705122808,Start
845,705167083,C
846,705177330,Start
847,705180584,Stub
848,705200309,Stub
849,705200468,Stub
850,705202080,Stub
851,705202157,Stub
852,705204037,Stub
853,705206510,Start
854,705206616,Start
855,705212313,Start
856,705213504,Stub
857,705218371,Start
858,705222873,Stub
859,705226005,Stub
860,705228603,Start
861,705236060,Stub
862,705244503,Stub
863,705247791,Stub
864,705254033,Stub
865,705264062,Start
866,705267741,Stub
867,705267817,Stub
868,705267832,Stub
869,705268153,Stub
870,705268171,Start
871,705268248,Stub
872,705268496,Stub
873,705268522,Stub
874,705268536,Stub
875,705268645,Stub
876,705272416,Stub
877,705274650,Start
878,705277835,Stub
879,705286745,Stub
880,705288012,Stub
881,705288814,Stub
882,705293831,Start
883,705301730,Stub
884,705322126,Stub
885,705332341,Stub
886,705346284,Stub
887,705346304,Stub
888,705346378,Stub
889,705346396,Stub
890,705346462,Stub
891,705346724,Stub
892,705346741,Stub
893,705346794,Stub
894,705346842,Stub
895,705346888,Stub
896,705346938,Stub
897,705346996,Stub
898,705347018,Stub
899,705347032,Stub
900,705347050,Stub
901,705347079,Stub
902,705347109,Stub
903,705347141,Stub
904,705347152,Stub
905,705347173,Start
906,705347224,Stub
907,705347243,Stub
908,705349064,Start
909,705349092,Stub
910,705349139,Stub
911,705349167,Stub
912,705349213,Stub
913,705353421,Stub
914,705353491,Stub
915,705353565,Stub
916,705353584,Stub
917,705353647,Stub
918,705353678,Stub
919,705353843,Stub
920,705353896,Stub
921,705353975,Stub
922,705354095,Stub
923,705354112,Stub
924,705354212,Stub
925,705360501,Start
926,705360606,Start
927,705361515,Stub
928,705361631,Stub
929,705361890,Stub
930,705361977,Stub
931,705362182,Stub
932,705362274,Stub
933,705363525,Stub
934,705363610,Stub
935,705363657,Stub
936,705363872,Start
937,705363891,Start
938,705369652,Start
939,705381218,Stub
940,705383874,Start
941,705385310,Stub
942,705386024,Stub
943,705390654,Stub
944,705395252,Stub
945,705395257,Stub
946,705397692,Stub
947,705402311,Stub
948,705409866,Start
949,705419921,Stub
950,705420162,Stub
951,705420173,Stub
952,705426676,Stub
953,705426756,Stub
954,705426772,Stub
955,705428274,Stub
956,705431624,Stub
957,705432607,Stub
958,705433513,C
959,705434314,Stub
960,705436088,Stub
961,705459067,Stub
962,705460148,Stub
963,705460585,Start
964,705467367,Start
965,705490419,Start
966,705518003,Stub
967,705518883,Stub
968,705527296,Stub
969,705528950,Stub
970,705539849,Stub
971,705543133,Stub
972,705546376,Stub
973,705547266,Stub
974,705550209,Stub
975,705557717,Stub
976,705570766,Stub
977,705579844,Stub
978,705585115,Start
979,705586751,Start
980,705597487,Stub
981,705601685,Start
982,705607317,Stub
983,705607410,Stub
984,705619664,Stub
985,705622230,Stub
986,705622580,Stub
987,705631918,Stub
988,705653632,Stub
989,705700815,Stub
990,705706890,Start
991,705707214,Stub
992,705720356,Stub
993,705723187,Stub
994,705723441,Stub
995,705726893,Stub
996,705727586,Start
997,705736835,Start
998,705736979,Stub
999,705737107,Start
1000,705746468,Stub
1001,705765669,Stub
1002,705765780,Stub
1003,705775235,Start
1004,705776541,Stub
1005,705817095,Stub
1006,705842209,Stub
1007,705870505,Stub
1008,705878369,Stub
1009,705882918,Stub
1010,705883069,Stub
1011,705886439,Start
1012,705901879,Start
1013,705904127,Stub
1014,705910185,Stub
1015,705911885,Stub
1016,705915804,C
1017,705920025,Start
1018,705924460,Start
1019,705924765,Stub
1020,705925026,Stub
1021,705927033,Stub
1022,705929702,Stub
1023,705951934,Stub
1024,705953821,Start
1025,705960229,Stub
1026,705961390,Stub
1027,705968296,Start
1028,705980040,Start
1029,705986322,Start
1030,705993227,Stub
1031,706015433,Stub
1032,706047516,Start
1033,706049252,Stub
1034,706066998,Stub
1035,706067548,Stub
1036,706073156,Stub
1037,706085467,Start
1038,706100027,Stub
1039,706112927,Stub
1040,706114162,Stub
1041,706114442,Stub
1042,706115246,Start
1043,706119974,Stub
1044,706146554,Stub
1045,706152385,Start
1046,706183416,Stub
1047,706183637,Stub
1048,706183676,Stub
1049,706183917,Stub
1050,706188219,Start
1051,706198405,Stub
1052,706202497,Stub
1053,706204833,
1054,706206903,Stub
1055,706207837,Start
1056,706211513,Start
1057,706231609,Stub
1058,706231743,Stub
1059,706231958,Stub
1060,706233042,Start
1061,706233074,Stub
1062,706233282,Stub
1063,706233501,Stub
1064,706234220,Stub
1065,706235030,Stub
1066,706235531,Start
1067,706236661,Stub
1068,706240273,Stub
1069,706240609,Stub
1070,706241606,Stub
1071,706241823,Stub
1072,706242060,Stub
1073,706242061,Stub
1074,706242079,Start
1075,706242606,Stub
1076,706242815,Stub
